production_process,raw_material,process_stage,material_category,production_quantity,material_quantity,waste_type
Basic Oxygen Furnace,Scrap Steel,Finishing,Flux Material,104.0,105.98,Blast Furnace Slag
Basic Oxygen Furnace,Zinc Coating Material,Finishing,Coating Material,80.16,56.85,Blast Furnace Slag
Electric Arc Furnace,Scrap Steel,Refining,Non-Ferrous Metal,154.78,197.95,Mill Scale
Forging,Iron Ore,Rolling,Coating Material,115.45,86.43,Steel Scrap
Continuous Casting,Zinc Coating Material,Rolling,Flux Material,69.5,67.23,Mill Scale
Galvanizing,Scrap Steel,Melting,Fuel/Reductant,69.43,55.81,Zinc Ash
Cold Rolling,Scrap Steel,Finishing,Fuel/Reductant,53.72,46.01,Mill Scale
Forging,Scrap Steel,Coating,Flux Material,96.72,111.19,Mill Scale
Galvanizing,Alloy Additives,Refining,Ferrous Metal,87.43,55.3,Zinc Ash
Cold Rolling,Scrap Steel,Refining,Ferrous Metal,43.6,31.36,Pickling Sludge
Galvanizing,Iron Ore,Casting,Flux Material,65.31,59.31,Zinc Ash
Basic Oxygen Furnace,Alloy Additives,Finishing,Non-Ferrous Metal,75.0,71.0,Steel Scrap
Finishing & Grinding,Limestone,Casting,Coating Material,117.88,113.64,Steel Scrap
Electric Arc Furnace,Iron Ore,Melting,Flux Material,48.43,35.32,EAF Dust
Galvanizing,Iron Ore,Finishing,Fuel/Reductant,114.19,84.18,Zinc Ash
Finishing & Grinding,Iron Ore,Casting,Non-Ferrous Metal,91.27,75.55,Steel Scrap
Cold Rolling,Zinc Coating Material,Coating,Fuel/Reductant,42.38,36.01,Steel Scrap
Hot Rolling,Iron Ore,Coating,Fuel/Reductant,61.8,60.56,Blast Furnace Slag
Continuous Casting,Zinc Coating Material,Refining,Fuel/Reductant,97.11,125.35,Steel Scrap
Finishing & Grinding,Alloy Additives,Casting,Coating Material,71.98,53.2,Blast Furnace Slag
Cold Rolling,Zinc Coating Material,Casting,Ferrous Metal,127.38,83.03,Pickling Sludge
Electric Arc Furnace,Zinc Coating Material,Finishing,Flux Material,122.78,83.63,Waste Gas Sludge
Basic Oxygen Furnace,Zinc Coating Material,Casting,Coating Material,97.39,62.77,Steel Scrap
Continuous Casting,Alloy Additives,Coating,Ferrous Metal,124.81,103.3,Steel Scrap
Basic Oxygen Furnace,Coke,Casting,Non-Ferrous Metal,117.44,109.28,Blast Furnace Slag
Basic Oxygen Furnace,Scrap Steel,Finishing,Fuel/Reductant,143.21,157.43,Waste Gas Sludge
Continuous Casting,Iron Ore,Finishing,Fuel/Reductant,98.57,93.21,Blast Furnace Slag
Forging,Iron Ore,Coating,Non-Ferrous Metal,152.6,137.23,Mill Scale
Galvanizing,Limestone,Coating,Fuel/Reductant,88.15,84.27,Zinc Ash
Galvanizing,Scrap Steel,Coating,Coating Material,74.76,57.9,Zinc Ash
Basic Oxygen Furnace,Zinc Coating Material,Finishing,Ferrous Metal,149.45,97.72,Blast Furnace Slag
Galvanizing,Scrap Steel,Coating,Non-Ferrous Metal,67.8,48.33,Zinc Ash
Continuous Casting,Zinc Coating Material,Coating,Coating Material,122.06,89.18,Steel Scrap
Forging,Iron Ore,Melting,Ferrous Metal,97.29,95.1,Mill Scale
Forging,Limestone,Finishing,Ferrous Metal,62.32,56.02,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Rolling,Flux Material,73.83,88.78,Waste Gas Sludge
Hot Rolling,Iron Ore,Coating,Fuel/Reductant,85.18,64.35,Mill Scale
Finishing & Grinding,Iron Ore,Melting,Fuel/Reductant,76.9,64.31,Pickling Sludge
Basic Oxygen Furnace,Scrap Steel,Finishing,Coating Material,79.37,86.68,Waste Gas Sludge
Hot Rolling,Iron Ore,Rolling,Fuel/Reductant,100.26,128.36,Mill Scale
Electric Arc Furnace,Iron Ore,Rolling,Ferrous Metal,33.25,20.81,Waste Gas Sludge
Finishing & Grinding,Coke,Rolling,Coating Material,84.06,80.01,Mill Scale
Hot Rolling,Coke,Refining,Ferrous Metal,78.31,73.82,Steel Scrap
Galvanizing,Scrap Steel,Melting,Coating Material,96.23,74.04,Zinc Ash
Continuous Casting,Scrap Steel,Coating,Ferrous Metal,132.69,147.25,Refractory Waste
Basic Oxygen Furnace,Zinc Coating Material,Refining,Fuel/Reductant,114.78,119.67,Blast Furnace Slag
Hot Rolling,Alloy Additives,Coating,Ferrous Metal,107.72,127.62,Steel Scrap
Galvanizing,Coke,Refining,Flux Material,189.66,138.56,Zinc Ash
Cold Rolling,Limestone,Casting,Ferrous Metal,88.61,54.19,Pickling Sludge
Basic Oxygen Furnace,Scrap Steel,Coating,Non-Ferrous Metal,68.26,51.78,Steel Scrap
Galvanizing,Scrap Steel,Refining,Flux Material,52.43,45.65,Zinc Ash
